71347305509842,-39,70
71347305509840,-44,66
71347305509841,-44,66
71347305509824,-54,56
71347305509826,-55,55
71347305509825,-56,54
27105389923775,-62,48
105567207331072,-65,45
80232995387277,-67,43
26819704000513,-68,42
26819704000512,-69,41
119580867106323,-70,40
158820376691618,-71,39
105567205496064,-71,39
168208391651282,-72,38
71347305513328,-73,37
71347305513329,-73,37
71347305513330,-73,37
27105389923774,-73,37
88398815531628,-73,37
1036163288520,-74,36
71347305511250,-74,36
71347305511250,-74,36
71347305511248,-75,35
71347305511249,-75,35
220673055804097,-76,34
110392264902092,-76,34
126677852232,-76,34
211476260932120,-77,33
189812107495219,-77,33
26819691462544,-77,33
26819691462545,-77,33
26819691462546,-77,33
18431782144864,-80,30
163501081472080,-80,30
163501081473361,-81,29
163501081472081,-81,29
75406681728729,-82,28
163501081473362,-82,28
163501081472082,-83,27
158820376691619,-83,27
101949661375595,-85,25
52634396510,-86,24
152090875018,-87,23
