71347305509842,-41,69
105567207331072,-59,51
119580867106323,-60,50
27105389923775,-61,49
27105389923774,-62,48
80232995387277,-62,48
1036163288520,-65,45
71347305511249,-65,45
71347305511250,-65,45
71347305513329,-67,43
71347305513330,-67,43
106528730750942,-67,43
71347305513328,-68,42
275495481772294,-71,39
220673055804097,-73,37
52634396510,-75,35
255726492168140,-78,32
158820376691618,-80,30
52631323679,-80,30
220673055804098,-81,29
101949661375595,-82,28
189812104019893,-83,27
75406681728729,-84,26
220826177848496,-86,24
