71347305509842,-36,70
119580867106323,-56,54
80232995387277,-61,49
106528730750942,-64,46
27105389923775,-66,44
1036163288520,-67,43
105567207331072,-67,43
259597915826294,-68,42
71347305513330,-69,41
168208391651282,-70,40
71347305513328,-70,40
71347305513329,-70,40
220673055804097,-71,39
110392264900322,-73,37
101949661375595,-76,34
163501081471504,-76,34
49135990948026,-77,33
163501081471505,-77,33
163501081471506,-77,33
35521522885455,-78,32
163501081472882,-80,30
126677852448,-80,30
156439143664,-80,30
26819704002162,-80,30
163501081472080,-80,30
163501081472082,-80,30
9608979884680,-81,29
220673055804098,-81,29
26819704002160,-81,29
26819704002161,-81,29
163501081472081,-81,29
156439143665,-82,28
26819704001904,-82,28
156438118258,-82,28
112331368660121,-83,27
156438118256,-85,25
